,Date Run,Ticker,Prediction Window,Lookback Window,Number of Estimators,Max Depth,Strategy Annual Return,Benchmark Annual Return,Active Annualized Return,Cumulative Returns,Sharpe Ratio,Sortino Ratio,Max Drawdown,Mean Squared Error,Baseline,Accuracy,Skill
0,2022-12-03,BRZU,63,252,2,3,-0.475112244063277,-0.422781672066782,-0.0523305719964945,-99.5538850354306,-0.583456649340597,-0.715259165917188,-0.996982280643557,53.7398469990028,0.513618677042802,0.415786548082268,-0.0978321289605336
0,2022-11-17,DPST,63,252,2,3,-0.409450676311996,-0.084190703498655,-0.325259972813341,-95.7316482725742,-0.467198659842927,-0.610176695047076,-0.970884873180733,59.0074518380462,0.452181208053691,0.403523489932886,-0.0486577181208054
0,2022-12-03,MEXX,63,252,2,3,-0.404681012273421,-0.269776471475003,-0.134904540798418,-89.4338805357124,-0.583506627398932,-0.72059907694977,-0.903684798727678,44.4272659054264,0.665806451612903,0.367741935483871,-0.298064516129032
0,2022-11-17,DFEN,63,252,2,3,-0.357581966051379,-0.163498796589077,-0.194083169462302,-85.0169908068494,-0.358371885032236,-0.473068438648289,-0.913625352536285,39.34050562089,0.506544502617801,0.349476439790576,-0.157068062827225
0,2022-12-03,DRIP,63,252,2,3,-0.354008527269606,-0.509602204811535,0.155593677541929,-93.5187585217654,-0.0579695184957269,-0.0880898461182492,-0.982986667209201,80.1162706420624,0.326724821570182,0.518636003172086,0.191911181601903
0,2022-12-03,DUST,63,252,2,3,-0.334595943508246,-0.458004177283126,0.123408233774881,-98.7321063769305,-0.230318201901058,-0.313622499581739,-0.997918027069752,51.5775296116951,0.374423480083857,0.473375262054507,0.0989517819706499
0,2022-11-17,UVXY,63,252,2,3,-0.330572139188085,-0.782408439221813,0.451836300033727,-98.0860204560737,-0.845275001637002,-1.31489283850587,-0.980860204560737,77.2730986854404,0.204430087678819,0.648823257960314,0.444393170281495
0,2022-11-17,VXX,63,252,2,3,-0.330316610812431,-0.42246607295504,0.0921494621426087,-76.0018129074153,-0.763552585649668,-1.24400689287996,-0.788307260693436,49.4094305028716,0.141379310344828,0.406896551724138,0.26551724137931
0,2022-11-17,JNUG,63,252,2,3,-0.318332687970556,-0.52695749646351,0.208624808492955,-95.0905339799338,0.126943231647653,0.178576602743975,-0.99422723505198,79.9875642484789,0.390990990990991,0.490690690690691,0.0996996996996997
0,2022-12-03,REML,63,252,2,3,-0.308596933724247,-0.294387064721657,-0.0142098690025894,-78.9471964187719,-0.360390327372728,-0.426563160707491,-0.876449219741999,35.5677284315773,0.551539491298527,0.441767068273092,-0.109772423025435
0,2022-12-03,UBR,63,252,2,3,-0.270192254985364,-0.211309567128481,-0.0588826878568836,-97.1659331646489,-0.453345312441645,-0.57480246832448,-0.981713095250374,37.5717744977901,0.486977111286504,0.441988950276243,-0.0449881610102605
0,2022-12-03,BZQ,63,252,2,3,-0.263235519126923,-0.26274748047998,-0.000488038646943134,-97.5892789209907,-0.46154961366419,-0.615729183831288,-0.981861116444241,35.6900965653429,0.391509433962264,0.524673439767779,0.133164005805515
0,2022-12-03,LBJ,63,252,2,3,-0.243223579750125,-0.162954440841711,-0.0802691389084145,-95.1746100307451,-0.151993474539128,-0.198961038538439,-0.981094407489775,124.758165461796,0.483498349834983,0.453795379537954,-0.0297029702970297
0,2022-12-03,FLBR,63,252,2,3,-0.236591196669778,-0.0781614939976248,-0.158429702672153,-64.3195662596859,-0.885430627106931,-1.08442909488192,-0.676672759461974,21.6448396850605,0.531782945736434,0.375193798449612,-0.156589147286822
0,2022-11-17,TZA,63,252,2,3,-0.227227145669149,-0.477333823786435,0.250106678117286,-96.2387983257914,-0.629190578203253,-0.856907059175353,-0.967858728284549,30.3663235988959,0.258131487889273,0.612110726643599,0.353979238754325
0,2022-12-03,SRTY,63,252,2,3,-0.221248868432646,-0.434648401942513,0.213399533509866,-94.4292527780599,-0.575317674566274,-0.794010108794797,-0.958422528769644,30.3600423576311,0.241804859236406,0.603933667566525,0.36212880833012
0,2022-11-17,SVXY,63,252,2,3,-0.219173160535507,-0.019563787563344,-0.199609372972164,-91.2723634248954,-0.0974527588727966,-0.114773135828805,-0.958727613684984,33.1118131924219,0.652514997692663,0.442547300415321,-0.209967697277342
0,2022-12-03,ERY,63,252,2,3,-0.219143627379776,-0.374347601996178,0.155203974616402,-95.7523301677611,-0.23706628941376,-0.326850218987374,-0.973765771664589,44.8035308352773,0.354015856601172,0.506721820062048,0.152705963460876
0,2022-11-17,MJ,63,252,2,3,-0.216429474298528,-0.222736753451813,0.00630727915328566,-75.0877329080025,-0.671877619563695,-0.938337067650547,-0.792972284440992,35.6929169982514,0.282394995531725,0.386058981233244,0.103663985701519
0,2022-11-17,UCO,63,252,2,3,-0.213872200263714,-0.300847742409212,0.0869755421454983,-95.3044678741287,-0.266948683541092,-0.344111888589792,-0.989100694615345,39.526484258389,0.505890505890506,0.452529452529453,-0.0533610533610533
0,2022-11-17,NAIL,63,252,2,3,-0.212342665533619,0.0497864783392095,-0.262129143872828,-76.0752918816497,0.141066815843563,0.195697284106287,-0.967965015847948,59.5286896362453,0.50628667225482,0.390611902766136,-0.115674769488684
0,2022-12-03,SMDD,63,252,2,3,-0.208950894067189,-0.411635146328556,0.202684252261367,-93.324371637076,-0.799504058368498,-1.06500090166046,-0.942605616639274,25.4156991022778,0.208252988816043,0.657153875819514,0.448900887003471
